source;target;weight
0;307;92.83
0;159;65.68
0;138;94.90
0;359;39.75
0;304;12.56
1;388;94.33
1;25;31.96
1;136;100.44
1;69;87.27
2;396;39.29
2;457;94.63
3;81;74.00
3;50;61.33
3;320;30.73
3;14;96.16
4;174;10.04
4;238;84.31
4;309;15.00
6;220;4.19
6;15;21.61
6;103;13.73
6;345;87.95
6;82;33.74
7;196;74.25
8;41;94.41
9;208;38.32
9;141;78.63
9;381;55.36
9;377;10.26
10;337;53.47
10;327;65.31
10;142;34.46
10;436;74.56
11;172;82.48
11;267;84.53
11;342;32.53
12;326;23.71
12;33;48.23
13;189;6.94
14;228;28.31
14;484;5.56
14;3;96.16
14;348;49.06
15;243;16.28
15;6;21.61
15;348;43.36
15;246;8.71
15;472;93.18
16;189;100.90
17;200;63.83
17;373;61.67
17;117;64.63
17;119;28.11
17;473;76.60
18;176;42.17
18;430;28.17
18;438;88.95
18;377;20.32
19;242;75.81
19;408;42.38
20;388;41.61
20;417;77.61
20;148;70.54
20;432;65.01
21;80;100.27
21;86;63.76
21;37;29.12
21;301;3.10
21;166;13.56
22;356;99.40
22;312;4.91
22;292;81.04
22;427;51.55
23;380;89.80
23;127;18.18
23;495;74.47
23;376;73.69
24;101;71.98
25;469;30.02
25;53;85.19
25;318;81.23
25;1;31.96
26;340;32.08
26;467;78.50
26;153;12.86
26;429;67.31
26;317;40.40
26;212;18.16
27;193;12.87
27;375;65.38
27;60;98.85
28;416;67.81
28;260;16.79
28;107;62.46
29;297;46.92
29;480;63.92
29;302;31.50
29;312;87.37
30;64;25.76
30;265;37.57
31;326;26.26
31;356;6.40
32;450;57.62
32;362;80.92
32;110;63.35
32;52;58.57
33;12;48.23
33;407;57.68
33;481;46.42
33;478;26.89
33;393;41.18
34;196;58.97
34;321;26.42
34;468;57.18
34;61;12.50
35;273;97.55
35;135;93.75
35;173;3.27
35;230;13.07
36;317;74.57
36;358;44.98
37;191;65.40
37;330;19.49
37;21;29.12
38;402;84.93
38;338;77.29
39;498;10.40
39;380;35.58
40;403;77.63
41;315;46.95
41;8;94.41
41;116;8.47
41;447;94.26
42;380;92.45
43;216;2.96
43;178;57.60
43;295;90.92
44;222;99.43
44;104;63.05
44;172;33.06
44;79;93.66
44;396;52.74
45;146;100.56
46;90;23.89
46;69;79.55
46;393;59.33
46;344;40.91
47;185;95.61
48;223;26.79
48;448;53.92
49;399;23.92
49;212;48.93
50;342;52.72
50;417;66.50
50;3;61.33
50;407;74.61
50;97;28.06
50;299;24.80
51;459;66.56
51;115;38.89
51;184;68.88
51;280;87.60
51;92;68.90
52;494;83.28
52;32;58.57
53;71;67.29
53;25;85.19
53;96;42.64
53;497;89.81
53;153;27.76
54;118;91.08
55;464;89.92
55;161;49.93
56;179;79.74
56;186;54.84
57;276;90.00
57;460;29.81
57;225;63.61
58;372;26.80
58;132;33.82
59;147;98.05
59;212;95.15
59;331;38.77
60;331;13.74
60;303;48.13
60;369;33.07
60;378;26.25
60;27;98.85
61;494;73.68
61;154;99.74
61;305;50.82
61;34;12.50
62;354;34.05
62;74;79.05
62;459;43.20
62;273;11.14
63;347;84.90
63;147;87.63
63;130;31.35
63;356;93.06
64;30;25.76
64;314;23.35
64;436;21.58
65;167;52.54
65;491;16.33
65;279;15.27
65;467;37.67
66;125;50.03
66;99;32.11
66;177;4.64
66;173;67.90
67;194;88.86
67;418;99.94
67;374;3.35
68;71;56.00
68;278;9.30
69;168;51.31
69;46;79.55
69;356;17.47
69;227;46.46
69;1;87.27
70;499;47.62
70;481;47.73
70;235;93.83
71;68;56.00
71;53;67.29
71;134;92.43
71;155;49.51
71;351;77.24
72;335;4.41
74;171;36.30
74;62;79.05
74;349;49.28
74;360;97.69
75;459;73.16
75;423;82.51
75;165;38.74
75;358;27.16
76;422;89.30
76;190;25.94
76;136;3.88
76;108;2.35
76;143;44.75
77;279;21.38
77;107;64.32
77;225;74.55
78;98;79.11
78;289;79.48
79;410;10.95
79;83;89.02
79;127;15.25
79;44;93.66
80;21;100.27
80;239;52.84
81;3;74.00
81;93;100.56
81;236;98.84
81;458;20.79
81;143;32.39
82;179;32.61
82;126;96.81
82;107;36.28
82;324;8.53
82;6;33.74
