source;target;weight
0;72;13.40
0;68;65.12
0;51;71.54
0;61;23.05
0;3;6.00
0;8;71.69
1;19;58.52
1;13;1.99
1;6;50.84
1;60;89.81
1;53;84.56
1;82;43.57
2;95;43.10
2;77;57.88
2;31;70.76
3;18;2.42
3;28;71.62
3;61;87.67
3;85;64.82
3;0;6.00
3;26;65.61
3;39;43.75
3;33;20.06
3;81;31.34
3;42;42.27
4;75;71.31
4;11;52.96
4;91;91.56
4;7;38.79
5;17;67.17
5;43;2.82
5;94;70.75
5;59;54.44
6;8;52.02
6;71;71.95
6;28;38.70
6;12;82.12
6;1;50.84
6;95;98.90
7;31;6.69
7;94;82.99
7;32;1.03
7;4;38.79
7;67;49.88
7;55;48.43
8;6;52.02
8;50;37.97
8;98;3.81
8;64;23.25
8;75;98.82
8;24;3.32
8;0;71.69
8;10;9.26
8;15;92.45
9;48;43.41
9;95;25.21
9;28;73.72
9;68;58.78
10;38;3.72
10;24;80.30
10;16;28.94
10;8;9.26
11;4;52.96
11;94;58.38
11;83;16.96
11;79;98.45
11;93;42.54
11;30;41.50
12;23;74.39
12;35;83.22
12;39;18.14
12;70;36.62
12;6;82.12
12;45;85.01
12;97;41.22
12;96;26.82
12;62;65.62
12;58;69.27
13;22;10.90
13;28;88.65
13;26;7.39
13;74;29.10
13;1;1.99
13;35;89.54
14;29;4.03
14;57;16.59
14;28;85.45
14;83;92.87
14;64;67.88
15;64;92.24
15;30;21.79
15;78;46.33
15;66;86.78
15;8;92.45
16;26;56.16
16;46;23.41
16;10;28.94
17;59;98.97
17;79;58.97
17;5;67.17
17;35;45.36
17;43;55.90
17;27;71.47
17;33;70.33
17;91;44.34
18;3;2.42
18;71;83.79
18;50;98.37
18;34;5.48
19;67;83.49
19;1;58.52
19;90;90.14
20;48;1.20
20;40;72.54
20;33;7.83
20;93;21.52
20;59;33.98
21;44;92.60
21;88;76.75
22;13;10.90
22;82;49.31
22;32;75.41
22;87;10.39
23;12;74.39
23;61;89.98
23;62;7.72
23;79;3.38
24;8;3.32
24;10;80.30
