source;target;label
0;1;89.10
0;2;21.36
0;3;15.58
0;4;76.86
0;5;30.55
0;6;62.99
0;7;83.13
0;8;85.22
0;9;44.84
0;10;3.86
0;11;91.01
0;12;99.40
0;13;38.16
0;14;67.27
0;17;98.42
1;0;89.10
1;2;2.32
1;3;93.50
1;4;90.46
1;5;51.75
1;6;61.58
1;7;52.29
1;8;10.69
1;9;72.53
1;10;43.34
1;11;90.58
1;12;98.57
1;13;24.84
1;14;94.44
1;16;1.18
2;0;21.36
2;1;2.32
2;3;94.30
2;4;96.62
2;5;18.53
2;6;50.09
2;7;9.63
2;8;69.53
2;9;75.12
2;10;22.61
2;11;81.72
2;12;31.54
2;13;98.93
2;14;12.87
2;16;3.74
3;0;15.58
3;1;93.50
3;2;94.30
3;4;7.70
3;5;70.70
3;6;38.76
3;7;11.47
3;8;45.84
3;9;70.69
3;10;83.91
3;11;75.16
3;12;95.71
3;13;11.19
3;14;77.68
3;19;31.70
4;0;76.86
4;1;90.46
4;2;96.62
4;3;7.70
4;5;63.36
4;6;75.49
4;7;25.21
4;8;93.06
4;9;5.21
4;10;87.10
4;11;90.23
4;12;84.39
4;13;50.54
4;14;95.51
4;21;15.24
5;0;30.55
5;1;51.75
5;2;18.53
5;3;70.70
5;4;63.36
5;6;97.10
5;7;5.70
5;8;92.43
5;9;36.22
5;10;90.87
5;11;98.38
5;12;65.89
5;13;11.51
5;14;42.10
5;25;66.05
6;0;62.99
6;1;61.58
6;2;50.09
6;3;38.76
6;4;75.49
6;5;97.10
6;7;58.80
6;8;38.76
6;9;15.57
6;10;79.36
6;11;23.12
6;12;77.54
6;13;31.47
6;14;17.94
6;17;51.30
7;0;83.13
7;1;52.29
7;2;9.63
7;3;11.47
7;4;25.21
7;5;5.70
7;6;58.80
7;8;30.40
7;9;10.14
7;10;84.21
7;11;22.37
7;12;60.52
7;13;3.66
7;14;48.54
7;22;21.90
8;0;85.22
8;1;10.69
8;2;69.53
8;3;45.84
8;4;93.06
