1;2;3;4;5;6;7;8;9;10;11;12;17
2;1;3;4;5;6;7;8;9;10;11;12;14
3;1;2;4;5;6;7;8;9;10;11;12;19
4;1;2;3;5;6;7;8;9;10;11;12;21
5;1;2;3;4;6;7;8;9;10;11;12;16
6;1;2;3;4;5;7;8;9;10;11;12;22
7;1;2;3;4;5;6;8;9;10;11;12;20
8;1;2;3;4;5;6;7;9;10;11;12;23
9;1;2;3;4;5;6;7;8;10;11;12;16
10;1;2;3;4;5;6;7;8;9;11;12;23
11;1;2;3;4;5;6;7;8;9;10;12;27
12;1;2;3;4;5;6;7;8;9;10;11;14
13;14;15;16;17;19;21;22;23;27;31;41;54
14;2;12;13;15;17;18;19;20;21;27;37;49
15;13;14;16;18;19;20;23;24;28;32;34;49
16;5;9;13;15;17;18;19;20;21;23;26;41
17;1;13;14;16;19;20;22;24;25;28;29;37
18;14;15;16;19;20;22;24;26;38;41;45;53
19;3;13;14;15;16;17;18;21;23;30;35;38
20;7;14;15;16;17;18;21;22;26;27;48;50
21;4;13;14;16;19;20;23;25;27;28;51;55
22;6;13;17;18;20;23;24;26;34;35;39;80
23;8;10;13;15;16;19;21;22;24;26;27;47
24;15;17;18;22;23;26;29;32;33;34;40;59
25;17;21;27;28;29;32;34;37;39;41;43;55
26;16;18;20;22;23;24;29;31;33;38;52;59
27;11;13;14;20;21;23;25;30;31;34;36;37
28;15;17;21;25;30;31;32;33;35;39;47;55
29;17;24;25;26;30;31;35;40;43;58;59;78
30;19;27;28;29;31;32;37;38;39;43;47;56
31;13;26;27;28;29;30;39;42;49;51;52;61
32;15;24;25;28;30;33;38;40;46;52;57;71
33;24;26;28;32;34;37;39;40;42;43;44;50
34;15;22;24;25;27;33;35;36;37;43;51;59
35;19;22;28;29;34;36;37;38;39;40;56;61
36;27;34;35;37;38;41;42;44;45;46;50;54
37;14;17;25;27;30;33;34;35;36;38;40;47
38;18;19;26;30;32;35;36;37;39;41;42;48
39;22;25;28;30;31;33;35;38;43;47;48;66
40;24;29;32;33;35;37;41;42;44;61;62;73
41;13;16;18;25;36;38;40;43;44;47;50;59
42;31;33;36;38;40;43;44;47;48;51;56;62
43;25;29;30;33;34;39;41;42;44;48;50;75
44;33;36;40;41;42;43;51;54;55;56;63;73
45;18;36;46;47;48;50;54;65;68;71;78;87
46;32;36;45;47;49;52;53;59;60;67;70;81
47;23;28;30;37;39;41;42;45;46;50;52;82
48;20;38;39;42;43;45;49;51;54;60;62;75
49;14;15;31;46;48;52;54;60;61;65;73;76
50;20;33;36;41;43;45;47;55;56;57;64;79
51;21;31;34;42;44;48;53;54;56;68;80;82
52;26;31;32;46;47;49;55;63;65;66;67;68
53;18;46;51;54;55;56;59;60;61;62;64;70
54;13;36;44;45;48;49;51;53;56;69;73;76
55;21;25;28;44;50;52;53;56;58;75;76;81
56;30;35;42;44;50;51;53;54;55;58;65;69
57;32;50;58;59;60;61;62;63;64;66;70;73
58;29;55;56;57;60;61;62;63;64;65;75;85
59;24;26;29;34;41;46;53;57;61;63;70;72
60;46;48;49;53;57;58;61;64;68;70;76;79
61;31;35;40;49;53;57;58;59;60;62;67;76
62;40;42;48;53;57;58;61;63;65;69;75;79
63;44;52;57;58;59;62;65;74;77;81;82;83
64;50;53;57;58;60;65;66;67;68;70;72
65;45;49;52;56;58;62;63;64;70;71;73;81
66;39;52;57;64;67;68;70;71;72;73;76;84
67;46;52;61;64;66;68;69;70;72;77;81;82
68;45;51;52;60;64;66;67;74;76;82;88;89
69;54;56;62;67;71;74;79;82;84;97
70;46;53;57;59;60;64;65;66;67;75;92;98
71;32;45;65;66;69;72;73;75;79;82;83
72;59;64;66;67;71;75;80;83;84;86;87
73;40;44;49;54;57;65;66;71;75;80;87;89
74;63;68;69;75;76;77;79;80;86;92;96;98
75;43;48;55;58;62;70;71;72;73;74;77;82
76;49;54;55;60;61;66;68;74;77;82;94
77;63;67;74;75;76;80;83;89;91;93
78;29;45;79;80;81;83;84;85;91;92;94
79;50;60;62;69;71;74;78;81;84;85;92;97
80;22;51;72;73;74;77;78;86;88;95;96
81;46;55;63;65;67;78;79;85;92;97
82;47;51;63;67;68;69;71;75;76;86
83;63;71;72;77;78;84;89;90;91;92;95
84;66;69;72;78;79;83;85;88;91;95;96
85;58;78;79;81;84;87;90;91;96;98
86;72;74;80;82;87;89;90;91;92;93;97
87;45;72;73;85;86;88;95;97
88;68;80;84;87;89;90;91;92;94;95
89;68;73;77;83;86;88;90;92;95;99
90;83;85;86;88;89;91;92;93;94;97;100
91;77;78;83;84;85;86;88;90;92;98;100
92;70;74;78;79;81;83;86;88;89;90;91;97
93;77;86;90;94;95;96;99;100
94;76;78;88;90;93;95;97;98
95;80;83;84;87;88;89;93;94;96
96;74;80;84;85;93;95;97;98
97;69;79;81;86;87;90;92;94;96;98;99
98;70;74;85;91;94;96;97;99;100
99;89;93;97;98;100
100;90;91;93;98;99
