1;4
2;23;16
3;16;26
4;1;23
5;26;9
6;12;24
7;14;22
8;10;15
9;5;19
10;19;8
11;20;30
12;38;6
13;50;35
14;15;7
15;8;14
16;2;3
17;30;38
18;80;49
19;9;10
20;21;11
21;29;20
22;7;29
23;4;2
24;6;32
25;79;73
26;3;5
27;46;45
28;53;46
29;22;21
30;11;17
31;66;34
32;24;50
33;36;48
34;31;61
35;13;53
36;42;33
37;77;55
38;17;12
39;40;63
40;49;39
41;47;79
42;45;36
43;54;44
44;43;62
45;27;42
46;28;27
47;51;41
48;33;80
49;18;40
50;32;13
51;62;47
52;63;66
53;35;28
54;61;43
55;37;64
56;65;93
57;58;77
58;73;57
59;68;60
60;59;65
61;34;54
62;44;51
63;39;52
64;55;92
65;60;56
66;52;31
67;71;82
68;92;59
69;78;87
70;75;71
71;70;67
72;76;78
73;25;58
74;96;86
75;84;70
76;93;72
77;57;37
78;72;69
79;41;25
80;48;18
81;85;124
82;67;85
83;106;125
84;87;75
85;82;81
86;74;98
87;69;84
88;89;117
89;95;88
90;124;100
91;117;94
92;64;68
93;56;76
94;91;101
95;97;89
96;100;74
97;99;95
98;86;122
99;102;97
100;90;96
101;94;109
102;107;99
103;112;108
104;125;107
105;109;137
106;122;83
107;104;102
108;103;140
109;101;105
110;114;136
111;140;127
112;136;103
113;132;142
114;118;110
115;135;145
116;123;130
117;88;91
118;160;114
119;120;135
120;121;119
121;127;120
122;98;106
123;156;116
124;81;90
125;83;104
126;154;155
127;111;121
128;139;159
129;149;131
130;116;149
131;129;151
132;147;113
133;158;170
134;138;150
135;119;115
136;110;112
137;105;160
138;141;134
139;145;128
140;108;111
141;151;138
142;113;156
143;148;158
144;153;168
145;115;139
146;170;167
147;159;132
148;155;143
149;130;129
150;134;154
151;131;141
152;167;157
153;157;144
154;150;126
155;126;148
156;142;123
157;152;153
158;143;133
159;128;147
160;137;118
161;175;183
162;178;171
163;164;165
164;168;163
165;163;177
166;177;196
167;146;152
168;144;164
169;172;180
170;133;146
171;162;194
172;190;169
173;176;185
174;193;189
175;187;161
176;180;173
177;165;166
178;183;162
179;185;195
180;169;176
181;201;193
182;210;192
183;161;178
184;222;214
185;173;179
186;200;191
187;196;175
188;194;190
189;174;200
190;188;172
191;186;215
192;182;211
193;181;174
194;171;188
195;179;206
196;166;187
197;225;199
198;211;208
199;197;229
200;189;186
201;206;181
202;215;210
203;230;249
204;205;232
205;214;204
206;195;201
207;223;225
208;198;236
209;232;241
210;202;182
211;192;198
212;220;245
213;227;253
214;184;205
215;191;202
216;224;250
217;228;275
218;251;220
219;231;222
220;218;212
221;237;243
222;219;184
223;241;207
224;253;216
225;207;197
226;229;251
227;233;213
228;250;217
229;199;226
230;238;203
231;236;219
232;204;209
233;249;227
234;239;254
235;265;248
236;208;231
237;245;221
238;243;230
239;278;234
240;261;278
241;209;223
242;248;259
243;221;238
244;273;269
245;212;237
246;275;265
247;260;252
248;235;242
249;203;233
250;216;228
251;226;218
252;247;261
253;213;224
254;234;276
255;259;260
256;266;270
257;295;329
258;325;266
259;242;255
260;255;247
261;252;240
262;270;280
263;269;272
264;289;321
265;246;235
266;258;256
267;271;293
268;296;290
269;244;263
270;256;262
271;281;267
272;263;291
273;280;244
274;282;281
275;217;246
276;254;325
277;293;331
278;240;239
279;297;294
280;262;273
281;274;271
282;300;274
283;307;306
284;301;292
285;333;330
286;291;300
287;308;333
288;294;311
289;292;264
290;268;312
291;272;286
292;284;289
293;267;277
294;279;288
295;299;257
296;306;268
297;321;279
298;318;334
299;319;295
300;286;282
301;310;284
