1;2;3;4;5;22
2;1;3;4;5;26
3;1;2;4;5;14
4;1;2;3;5;8
5;1;2;3;4;8
6;7;8;10;13;18
7;6;8;9;10;14
8;4;5;6;7;10
9;7;10;12;21;34
10;6;7;8;9;16
11;12;15;17;20;24
12;9;11;13;14;22
13;6;12;14;15;19
14;3;7;12;13;40
15;11;13;18;20;35
16;10;17;18;20;21
17;11;16;18;23;24
18;6;15;16;17;19
19;13;18;20;25;27
20;11;15;16;19;23
21;9;16;22;34;40
22;1;12;21;23;24
23;17;20;22;24;27
24;11;17;22;23;25
25;19;24;26;28;31
26;2;25;30;34;41
27;19;23;28;29;31
28;25;27;29;32;35
29;27;28;32;35;39
30;26;31;32;33;40
31;25;27;30;32;40
32;28;29;30;31;36
33;30;35;38;45;46
34;9;21;26;40;48
35;15;28;29;33;37
36;32;38;39;45;46
37;35;38;39;41;42
38;33;36;37;41;42
39;29;36;37;41;44
40;14;21;30;31;34
41;26;37;38;39;45
42;37;38;43;47;48
43;42;44;48;49;52
44;39;43;45;47;52
45;33;36;41;44;47
46;33;36;53;59;71
47;42;44;45;49;54
48;34;42;43;54;68
49;43;47;50;55;56
50;49;51;52;55;57
51;50;52;53;54;67
52;43;44;50;51;57
53;46;51;56;58;65
54;47;48;51;55;57
55;49;50;54;58;59
56;49;53;58;69;78
57;50;52;54;58;59
58;53;55;56;57;60
59;46;55;57;60;71
60;58;59;61;62;63
61;60;62;64;66;69
62;60;61;63;64;71
63;60;62;65;67;70
64;61;62;65;67;68
65;53;63;64;70;71
66;61;67;68;70;71
67;51;63;64;66;79
68;48;64;66;70;72
69;56;61;73;74;76
70;63;65;66;68;72
71;46;59;62;65;66
72;68;70;73;75;86
73;69;72;74;75;80
74;69;73;75;77;79
75;72;73;74;79;83
76;69;77;79;81;87
77;74;76;78;81;85
78;56;77;79;80;86
79;67;74;75;76;78
80;73;78;82;83;87
81;76;77;82;83;87
82;80;81;83;85;86
83;75;80;81;82;84
84;83;85;86;89
85;77;82;84;88;95
86;72;78;82;84;89
87;76;80;81;88;90
88;85;87;89;90;96
89;84;86;88;90;95
90;87;88;89;92;93
91;92;94;96;100
92;90;91;93;94
93;90;92;95;98
94;91;92;96;98;99
95;85;89;93;97
96;88;91;94;97;98
97;95;96;99
98;93;94;96;99
99;94;97;98;100
100;91;99
