0;319;451;462;171
1;209;11;407
2;453
3;62
4;358
5;384
6;337
7;417
8;415
9;308
10;107
11;1
12;495
13;401;411
14;327
15;316
16;471;148;182;71
17;364
18;359
19;394
20;246
21;418
22;453
23;359
24;224;98;292;187
25;152
26;37
27;74
28;165;138;208;347
29;261
30;178;211
31;406
32;413;135
33;165;358;43;142
34;497
35;364
36;283;151
37;204;26
38;165;293;406
39;356;53;125;301;423
40;53
41;456;220
42;78
43;33
44;381
45;347
46;172
47;126
48;415
49;261
50;413;124;206
51;207
52;495
53;39;40;285
54;305
55;401
56;145;195
57;108
58;320
59;429
60;297;184;300
61;381
62;417;3
63;342;325;87;498
64;227
65;413
66;301
67;231;215;240;248
68;483
69;365
70;342
71;16;79;363
72;161;449;464;466
73;293
74;373;27;481;414
75;250
76;462;89;396;495;178
77;324
78;101;42;168;473;155
79;71
80;365;150
81;101
82;486;431
83;450
84;231;170;291;429
85;239
86;122
87;63
88;283
89;76;162;172;263;277;350;400;147
90;356;198;331;450;370
91;262
92;166;267;465
93;360
94;123
95
96;368
97;196
98;24
99;328
100;306
101;171;78;81;109;239;427;453;112;261;477;479;493
102;373;388
103;398
104;425;164;254;321
105;335;266
106;462;108;249;283;401;123
107;224;10;192
108;106;57;369;484;499
109;101;179;361
110;366;408
111;483;341
112;101;242;330
113;289
114;126
115;178;199
116;373
117;388
118;209
119;293
120;426;258
121;181;296
122;386;86
123;106;94;344
124;50
125;39;387
126;357;114;47;375
127;273
128;239
129;377;213;367
130;336
131;378
132;384
133;435
134;203;225
135;32;318
136;244
137;316
138;28;278;355;402;468;485;303
139;444;482
140
141;189
142;33;309;494
143;185
144;178
145;274;56
146;356
147;89
148;16
149;293
150;80
151;36
152;260;25;323;194
153;164
154;157
155;78
156;424
157;426;154;196;439
158
159;442
160;161
161;425;72;160;334;496
162;89;236;183;290
163;378;447
164;104;153;235
165;319;28;33;38;203;338;483;332
166;425;92;383
167;475
168;78
169;459
170;84
171;0;101;260;357;373
172;89;46;410
173;383
174;261
175;397
176;250
177;314
178;76;115;30;144;219;418
179;109
180;208
181;353;121
182;16;460
183;162
184;60
185;217;143
186
187;24
188;313
189;425;141;280;315;364;378;421
190;338
191;261
192;107
193
194;152
195;56
196;157;97
197;396;463
198;90;202
199;115
200;386
201;239
202;198
203;165;134;333;474;398
204;353;37;395
205;244;226
206;50
207;338;51
208;28;180;234;337
209;373;1;118;376;298
210;246
211;30
212;486
213;129
214;430
215;67;310;437
216;232
217;373;185;393;374
218;457
219;178
220;41
221;368
222;365
223;386
224;274;24;107;245;273
225;134
226;205
227;453;64;256
228;415;440;446
229
230;428
231;451;67;84;289;403;426
232;455;216
233;359
234;208
235;164
236;162
237;495;287
238;320
239;101;85;128;201;430
240;67
241;384
242;112
243;467
244;471;205;136;259
245;224;441
246;353;20;210
247;384
248;67
249;106;480
250;483;75;176
251;342
252;484
253;366
254;104
255;396;432
256;227
257;324
258;120
259;244;458
260;171;152;390;324;391
261;101;174;29;49;191
262;486;91
263;89
264;365
265;444
266;105
267;92
268;334
269;400
270;377;382
271;406
272;332
273;224;127
274;451;145;224;297;428;444;459
275;283
276;370
277;89
278;138;362
279;365
280;189;475;420
281;356
282;486
283;106;36;88;275
284;339
285;53
286;315
287;237
288;450
289;231;113;392
290;162
291;84;346;385
292;24
293;38;73;119;149;448;470;476;488
294;377
295;331
296;121
297;274;60;360;368;422;424
298;209
299;456
300;60
301;39;66
302;321
303;138
304;309
305;455;54
306;332;100
307;350
308;477;9
309;142;304
310;215
311;397
312;332
313;452;188
314;413;177
315;189;286
316;342;137;15;472
317;334
318;135
319;0;165
320;412;58;238;345
321;104;302
322;336
323;152
324;260;77;257
325;63
326;399;490;405
327;338;14;434;445
328;467;99
329;397
330;112
331;90;295
332;165;306;312;272;359
333;203
334;161;268;317
335;339;105
336;357;130;322;478
337;208;6
338;165;190;327;207;349;457;467
339;471;284;335;497;354
340;397
341;111
342;425;70;63;251;316
343;456
344;123
345;320;371
346;291
347;28;45
348;358
349;338
350;89;307
351;373;492
352;396
353;462;204;181;246;417;377
354;339
355;138
356;462;39;146;90;281;415
357;171;126;336
358;33;348;4;491
359;332;18;23;233
360;297;93;399;438
361;109
362;278
363;71
364;189;17;35;404
365;413;264;69;80;222;279
366;373;110;253
367;129
368;297;96;221
369;108
370;90;276;416
371;345
372;406
373;171;74;102;366;116;209;217;351;436;469
374;217
375;126
376;209
377;353;270;129;294;442
378;189;131;163
379;455
380;483
381;412;44;61
382;270
383;166;173
384;413;5;132;247;241
385;291
386;483;122;200;223
387;125
388;102;117
389;489
390;260;454;461
391;260
392;289
393;217
394;435;19
395;204
396;76;197;255;352
397;444;311;329;340;175
398;203;103
399;360;326
400;89;269
401;106;13;55
402;138
403;231
404;364
405;326
406;38;31;271;372
407;1
408;110
409;480
410;172
411;13
412;451;320;381
413;462;32;65;384;50;314;365;435;486;489
414;74
415;356;8;48;228
416;370
417;353;62;7;452
418;178;21
419;475
420;280
421;189
422;297
423;39
424;297;156
425;451;104;166;342;161;189;455
426;231;120;157
427;101
428;274;230
429;84;59
430;239;214;443
431;82
432;255
433;457
434;327
435;413;394;133
436;373
437;215
438;360
439;157
440;228
441;245
442;377;159
443;430
444;274;265;139;397
445;327
446;228
447;163
448;293
449;72
450;90;83;288
451;0;231;425;274;412;471
452;417;313
453;101;227;2;22
454;390
455;425;232;305;379
456;471;299;343;41
457;338;218;433
458;259
459;274;169
460;182
461;390
462;0;76;356;106;353;413
463;197
464;72
465;92
466;72
467;338;328;243;487
468;138
469;373
470;293
471;451;244;339;456;16
472;316
473;78
474;203
475;280;167;419
476;293
477;101;308
478;336
479;101
480;249;409
481;74
482;139
483;165;111;380;386;68;250
484;108;252
485;138
486;413;262;282;82;212
487;467
488;293
489;413;389
490;326
491;358
492;351
493;101
494;142
495;76;52;12;237
496;161
497;339;34
498;63
499;108
