0;16
1;16;2
2;1;9
3;9;10
4;10;5
5;4;7
6;7;22
7;5;6
8;11;13
9;2;3
10;3;4
11;22;8
12;13;15
13;8;12
14;24;17
15;12;24
16;0;1
17;14;19
18;20;25
19;17;20
20;19;18
21;35;29
22;6;11
23;33;35
24;15;14
25;18;33
26;29;27
27;26;31
28;36;38
29;21;26
30;31;36
31;27;30
32;40;37
33;25;23
34;37;39
35;23;21
36;30;28
37;32;34
38;28;42
39;34;43
40;42;32
41;44;46
42;38;40
43;39;47
44;51;41
45;47;48
46;41;55
47;43;45
48;45;51
49;53;50
50;49;57
51;48;44
52;57;63
53;55;49
54;58;65
55;46;53
56;65;59
57;50;52
58;61;54
59;56;62
60;64;67
61;63;58
62;59;71
63;52;61
64;71;60
65;54;56
66;72;75
67;60;72
68;70;77
69;75;70
70;69;68
71;62;64
72;67;66
73;77;74
74;73;76
75;66;69
76;74;79
77;68;73
78;84;80
79;76;88
80;78;81
81;80;83
82;83;89
83;81;82
84;88;78
85;86;96
86;89;85
87;90;92
88;79;84
89;82;86
90;96;87
91;92;94
92;87;91
93;95;98
94;91;95
95;94;93
96;85;90
97;98;99
98;93;97
99;97
