0;1
1;0;2
2;1;15
3;12;7
4;15;6
5;6;10
6;4;5
7;3;18
8;10;9
9;8;21
10;5;8
11;31;12
12;11;3
13;21;19
14;55;20
15;2;4
16;33;24
17;32;22
18;7;28
19;13;33
20;14;23
21;9;13
22;17;25
23;20;38
24;16;47
25;22;26
26;25;29
27;38;35
28;18;37
29;26;30
30;29;36
31;47;11
32;44;17
33;19;16
34;36;50
35;27;41
36;30;34
37;28;39
38;23;27
39;37;40
40;39;44
41;35;53
42;52;59
43;45;54
44;40;32
45;46;43
46;72;45
47;24;31
48;60;61
49;53;62
50;34;52
51;68;55
52;50;42
53;41;49
54;43;57
55;51;14
56;74;63
57;54;64
58;62;73
59;42;70
60;87;48
61;48;79
62;49;58
63;56;76
64;57;65
65;64;66
66;65;67
67;66;74
68;70;51
69;89;92
70;59;68
71;73;72
72;71;46
73;58;71
74;67;56
75;80;83
76;63;86
77;83;82
78;81;87
79;61;80;84
80;79;75
81;86;78
82;77;85
83;75;77
84;79
85;82;88
86;76;81
87;78;60;89
88;85;91
89;87;69
90;97;95
91;88;93;97
92;69;98
93;91;99
94;95
95;90;94
96;99
97;91;90
98;92
99;93;96
